empty,Trip ID,Taxi ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid  Location,start,end
20.5,3479,3479,3479,3479,3474,3479,939,892,3097,2880,3478,3478,3478,3478,3478,3479,3479,3098,3098,3098,2888,2888,2888,3479,3479
20.75,3301,3301,3301,3301,3299,3301,856,813,2905,2685,3301,3301,3301,3301,3301,3301,3301,2906,2906,2906,2689,2689,2689,3301,3301
21.0,2927,2927,2927,2927,2926,2927,777,747,2620,2463,2927,2927,2927,2927,2927,2927,2927,2620,2620,2620,2464,2464,2464,2927,2927
21.25,2760,2760,2760,2760,2759,2760,716,681,2396,2253,2760,2760,2760,2760,2760,2760,2760,2397,2397,2397,2259,2259,2259,2760,2760
21.5,2570,2569,2570,2570,2569,2570,689,655,2266,2113,2570,2570,2570,2570,2570,2570,2570,2266,2266,2266,2114,2114,2114,2570,2570
21.75,2429,2428,2429,2429,2428,2429,650,625,2126,1983,2429,2429,2429,2429,2429,2429,2429,2127,2127,2127,1987,1987,1987,2429,2429
22.0,2305,2304,2305,2305,2305,2305,612,589,1999,1869,2305,2305,2305,2305,2305,2305,2305,1999,1999,1999,1870,1870,1870,2305,2305
22.25,2167,2167,2167,2167,2167,2167,537,522,1866,1743,2167,2167,2167,2167,2167,2167,2167,1868,1868,1868,1749,1749,1749,2167,2167
22.5,2022,2021,2022,2022,2021,2022,484,468,1715,1595,2022,2022,2022,2022,2022,2022,2022,1716,1716,1716,1597,1597,1597,2022,2022
22.75,1906,1905,1906,1906,1905,1906,448,423,1643,1505,1905,1905,1905,1905,1905,1906,1906,1645,1645,1645,1508,1508,1508,1906,1906
23.0,1790,1789,1790,1790,1789,1790,436,407,1529,1420,1790,1790,1790,1790,1790,1790,1790,1531,1531,1531,1423,1423,1423,1790,1790
23.25,1655,1655,1655,1655,1653,1655,380,364,1398,1310,1655,1655,1655,1655,1655,1655,1655,1399,1399,1399,1314,1314,1314,1655,1655
23.5,1550,1550,1550,1550,1548,1549,361,337,1292,1206,1549,1549,1549,1549,1549,1550,1550,1292,1292,1292,1207,1207,1207,1550,1550
23.75,1403,1403,1403,1403,1402,1403,319,300,1203,1108,1402,1402,1402,1402,1402,1403,1403,1203,1203,1203,1109,1109,1109,1403,1403
24.0,1147,1146,1147,1147,1147,1147,248,234,972,883,1147,1147,1147,1147,1147,1147,1147,972,972,972,884,884,884,1147,1147
24.25,1029,1027,1029,1029,1028,1028,246,232,859,791,1029,1029,1029,1029,1029,1029,1029,859,859,859,792,792,792,1029,1029
24.5,840,840,840,840,837,840,200,187,713,685,840,840,840,840,840,840,840,713,713,713,686,686,686,840,840
24.75,790,790,790,790,789,790,166,162,675,629,790,790,790,790,790,790,790,675,675,675,629,629,629,790,790
25.0,697,697,697,697,695,697,153,145,580,540,697,697,697,697,697,697,697,581,581,581,542,542,542,697,697
25.25,623,623,623,623,621,623,168,158,528,496,623,623,623,623,623,623,623,528,528,528,499,499,499,623,623
25.5,567,567,567,567,567,567,129,116,475,444,567,567,567,567,567,567,567,475,475,475,445,445,445,567,567
25.75,519,519,519,519,519,519,132,122,448,420,519,519,519,519,519,519,519,449,449,449,421,421,421,519,519
26.0,486,485,486,486,486,486,122,121,409,384,486,486,486,486,486,486,486,409,409,409,384,384,384,486,486
26.25,418,418,418,418,418,418,94,85,358,326,418,418,418,418,418,418,418,358,358,358,326,326,326,418,418
26.5,392,390,392,392,392,392,82,82,329,308,392,392,392,392,392,392,392,329,329,329,308,308,308,392,392
26.75,413,412,413,413,413,413,90,89,360,351,413,413,413,413,413,413,413,360,360,360,351,351,351,413,413
27.0,332,332,332,332,332,332,85,84,284,271,332,332,332,332,332,332,332,284,284,284,272,272,272,332,332
27.25,331,331,331,331,330,331,88,89,282,280,331,331,331,331,331,331,331,282,282,282,280,280,280,331,331
